order,slug,zh,type,video,start,end
1,seated-pranayama,坐姿调息,still,1,297,
2,seated-side-stretch,坐姿侧伸展,still,1,318,
3,neck-stretch,脖颈伸展,still,1,363,
4,seated-twist,坐姿侧向扭转,clip,1,370,381
5,seated-twist-other,反侧扭转,clip,1,384,400
6,tabletop,四角板凳,still,1,445,
7,hero-fold,英雄式前屈,still,1,480,
8,cat-cow,猫牛动态,clip,1,480,509
9,thread-needle-dyn,动态穿针,clip,1,513,549
10,thread-needle-balance,穿针平衡挑战,still,1,562,
11,thread-needle-dyn-other,反侧动态穿针,clip,1,570,593
12,thread-needle-balance-other,穿针平衡挑战·反侧,still,1,600,
13,leg-extend,伸直单侧腿,still,1,615,
14,tiger-dyn,虎式动态,clip,1,615,634
15,tiger-balance,虎式平衡挑战,still,1,652,
16,gate,门闩式拉伸,still,1,680,
17,mountain,山式,still,1,841,
18,arms-up,手臂上举,still,1,935,
19,standing-fold,站立前屈,still,1,948,
20,plank,平板支撑,still,1,954,
21,chaturanga,四柱支撑,still,1,958,
22,updog,上犬式,still,1,962,
23,updog-look-left,上犬向左后看,still,1,963,
24,updog-look-right,上犬向右后看,still,1,966,
25,updog-look-front,上犬向前看,still,1,967,
26,sun-salutation,拜日式动态过渡,clip,1,935,975
27,down-dog,下犬式,still,1,810,
28,three-legged-dog,下犬抬起一条腿,still,1,990,
29,step-forward,迈到双手之间,clip,1,991,996
30,warrior-i,战士一,still,1,1035,
31,warrior-ii,战士二,still,1,1080,
32,reverse-warrior,反战士二,still,1,1098,
33,extended-side-angle,侧角伸展,still,1,1110,
34,side-angle-variant,侧角变体,still,1,1125,
35,bound-side-angle,侧角双手身后相扣,still,1,1130,
36,triangle,三角式,still,1,1170,
37,pyramid-dyn,金字塔动态,clip,1,1189,1210
38,revolved-triangle,反三角,still,1,1240,
39,crescent,新月式,still,1,1266,
40,crescent-deep,新月夸张版,still,1,1272,
41,lunge-twist,侧向扭转,still,1,1290,
42,lizard,蜥蜴·龙式,still,1,1350,
43,dragon-twist,龙式扭转,clip,1,1357,1365
44,dragon-foot-grab,龙式手抓脚背,still,1,1377,
45,half-monkey-dyn,半神猴动态拉伸,clip,1,1399,1415
46,half-monkey,半神猴,still,1,1415,
47,monkey,神猴式,still,1,1440,
48,monkey-fold,神猴前屈,still,1,1448,
49,half-pigeon-adjust,半鸽子式调整,clip,1,1464,1490
50,chair,幻椅式,still,1,2196,
51,airplane,飞机式·手臂向后,still,1,2301,
52,warrior-iii-lift,手臂带动右腿抬起,clip,1,2306,2316
53,standing-knee-hug,双手抱膝站立,still,1,2327,
54,knee-hug-twist,单手抱膝扭转,still,1,2336,
55,standing-hand-to-foot,站立手抓脚,still,1,2352,
56,hand-to-foot-side,站立手抓脚侧向拉伸,clip,1,2353,2362
57,figure-four-balance,4字平衡站立,still,1,2374,
58,head-to-knee-dyn,单腿头碰膝前屈动态,clip,2,135,158
59,head-to-knee,头碰膝前屈,still,2,240,
60,marichyasana-dyn,马里奇扭转动态,clip,2,277,290
61,marichyasana,马里奇扭转,still,2,302,
62,leg-hug,双手抱腿,still,2,325,
63,half-lotus-fold-dyn,半莲花前屈动态,clip,2,340,367
64,half-lotus-fold,半莲花前屈,still,2,390,
65,compass-dyn,指南针动态,clip,2,427,435
66,compass,指南针,still,2,440,
67,reverse-table,反桌式抬起,still,2,448,
68,wild-thing,狂野式,still,2,456,
69,reclined-bound-angle,仰卧束角式,still,2,900,
70,savasana,大休息式,still,2,1020,
71,wheel-dyn,轮式动态实现,clip,2,1082,1110
72,wheel,轮式,still,2,1110,
73,wheel-release,轮式回收,clip,2,1120,1124
74,plow-dyn,犁式实现,clip,2,1133,1139
75,plow,犁式,still,2,1141,
76,shoulderstand-dyn,肩倒立实现,clip,2,1140,1151
77,shoulderstand,肩倒立,still,2,1151,
78,shoulderstand-release,肩倒立回收,clip,2,1190,1195
79,headstand-dyn,头倒立实现,clip,2,1261,1310
80,headstand,头倒立,still,2,1330,
81,headstand-release,头倒立回收,clip,2,1426,1431
82,childs-pose,婴儿式休息,still,2,1432,
